ID,Date,Temperature Median (C),Temperature Minimum (C),Temperature Maximum (C),Precipitation (mm),Weekend,"Beer consumption (liters)"
292,10/19/2015,19.86,15.5,27.2,0,0,24
293,10/20/2015,26.3,17.2,35.3,0,0,27.871
294,10/21/2015,24.62,21.3,32,0,0,31.139
295,10/22/2015,19.9,17.7,22.8,14.6,0,23.065
296,10/23/2015,20.5,17.6,27.3,13.4,0,26.594
297,10/24/2015,17.94,16.2,21.2,0,1,27.657
298,10/25/2015,17.64,15.7,19.2,0,1,26.594
299,10/26/2015,20.86,16,28.5,28.4,0,28.084
300,10/27/2015,22,19.1,28.4,0.1,0,27.582
301,10/28/2015,20.42,18.6,23.9,0,0,24.862
302,10/29/2015,20.56,18.2,24.8,0,0,22.634
303,10/30/2015,23.86,19.1,31.2,0,0,31.649
304,10/31/2015,23.18,18.2,29.3,0,1,35.781
305,11/1/2015,20.22,18.7,22.4,27.2,1,24.429
306,11/2/2015,21.82,18.3,27.2,39.6,0,20.648
307,11/3/2015,21.86,19.5,25.6,3.4,0,22.741
308,11/4/2015,21.52,18.6,27.4,6.8,0,21.479
309,11/5/2015,21.8,18.2,24.8,39.3,0,23.134
310,11/6/2015,19.76,18,22.8,0,0,20.575
311,11/7/2015,18.3,16.8,20,1.2,1,24.33
312,11/8/2015,20.24,17.4,23.9,0.6,1,28.61
313,11/9/2015,22.98,18.7,29.5,4.4,0,28.456
314,11/10/2015,23.72,19.4,31.8,10.4,0,27.964
315,11/11/2015,26.2,19.8,32.7,0,0,29.569
316,11/12/2015,23.78,20.8,31.8,0,0,29.267
317,11/13/2015,22.78,19.4,29.6,0,0,28.647
318,11/14/2015,25.06,19.5,30.4,16.4,1,26.836
319,11/15/2015,23.06,19.8,29.7,8,1,29.386
320,11/16/2015,21.16,19.4,24.9,0,0,24.609
321,11/17/2015,21.76,17.7,29.7,0,0,26.964
322,11/18/2015,25.5,17.6,30.5,14.1,0,23.614
323,11/19/2015,26.16,23.3,30.4,0,0,22.96
324,11/20/2015,23.28,19.6,27,6.8,0,20.332
325,11/21/2015,19.44,17.2,24.4,7.2,1,30.392
326,11/22/2015,22.26,17.1,28.8,0,1,31.933
327,11/23/2015,20.8,19.6,23.6,13.6,0,21.662
328,11/24/2015,21.36,19.3,22.6,7,0,21.689
329,11/25/2015,21.26,19.3,24.8,0.4,0,25.119
330,11/26/2015,22.28,19,27.4,0,0,25.285
331,11/27/2015,22.28,17.6,28.4,0,0,28.979
332,11/28/2015,23.7,18.7,29.8,0,1,34.382
333,11/29/2015,22.38,20.5,26,17.4,1,30.617
334,11/30/2015,19.1,16.7,23.3,23.4,0,20.238
335,12/1/2015,20.1,16.4,25.8,0,0,24.529
336,12/2/2015,22.1,18.2,29.4,0,0,30.471
337,12/3/2015,22.44,20.2,26.1,0,0,28.405
338,12/4/2015,22.76,19,29.1,0,0,29.513
339,12/5/2015,24.8,19.5,30.6,0.1,1,32.451
340,12/6/2015,23.12,20.6,28,0.1,1,32.78
341,12/7/2015,20.04,18,23.9,47.8,0,23.375
342,12/8/2015,21.7,18,28,0,0,27.713
343,12/9/2015,23.96,19.6,27.9,0,0,27.137
344,12/10/2015,24,22.2,27.7,0,0,22.933
345,12/11/2015,24.04,20.7,30.3,0,0,30.74
346,12/12/2015,23.92,20.6,30.8,0,1,29.579
347,12/13/2015,24.54,19.3,31,12.2,1,29.188
348,12/14/2015,26.28,21.1,32.5,2,0,28.131
349,12/15/2015,25.66,20.6,32.8,4,0,28.617
350,12/16/2015,22.04,20.7,24.8,1.5,0,21.062
351,12/17/2015,23.32,18.9,28.7,0,0,24.337
352,12/18/2015,26.42,19.6,33.5,0.1,0,27.042
353,12/19/2015,23.74,19.8,31.3,1.3,1,32.536
354,12/20/2015,22.84,19.6,29,8.4,1,30.127
355,12/21/2015,23.12,19.6,29.1,27.2,0,24.834
356,12/22/2015,24.6,19.6,32.4,43,0,26.828
357,12/23/2015,27.46,22.1,32.4,3,0,26.468
358,12/24/2015,24.72,20.5,31.5,3.4,0,31.572
359,12/25/2015,23.58,17.8,31,39,0,26.308
360,12/26/2015,23.34,17.8,29.8,94.8,1,21.955
361,12/27/2015,24,21.1,28.2,13.6,1,32.307
362,12/28/2015,22.64,21.1,26.7,0,0,26.095
363,12/29/2015,21.68,20.3,24.1,10.3,0,22.309
364,12/30/2015,21.38,19.3,22.4,6.3,0,20.467
365,12/31/2015,24.76,20.2,29,0,0,22.446
